CLERK,CLERK_ID,QUEUE,SITE,SHIFT,YEARS_EXPERIENCE,BASELINE_TASKS_PER_HOUR,BASELINE_ERROR_RATE,TRAINING_SCORE,TREATMENT,SHIFT_START,SHIFT_END,TASKS_COMPLETED,ERROR_RATE,TREATMENT_CLEAN
Marco Kim LPC-2196 · Phoenix Processing Center,LPC-2196,Mortgage,Phoenix Processing Center,Evening,4.3,7.7,2.7,95.0,Group A,2026-02-20 12:25,02/20/2026 08:23 PM,79.0,3.2,AI Tool
Hannah Patel LPC-2221 · Phoenix Processing Center,LPC-2221,Personal,Phoenix Processing Center,Day,2.5,9.9,1.7,95.0,Typing Only,2026-02-18 07:49,02/18/2026 03:45 PM,80.0,1.5,Manual
Omar Bennett LPC-2222 · Phoenix Processing Center,LPC-2222,Personal,Phoenix Processing Center,Day,3.6,10.1,1.8,86.0,AI Extract,"Feb 18, 2026 08:20",--,92.0,2.6,AI Tool
Priya Alvarez LPC-2223 · Phoenix Processing Center,LPC-2223,Personal,Phoenix Processing Center,Day,1.6,9.5,2.1,88.0,Typing Only,02/19/2026 08:10 AM,"Feb 19, 2026 16:16",76.0,2.4,Manual
Farah Foster LPC-2224 · Phoenix Processing Center,LPC-2224,Personal,Phoenix Processing Center,Day,5.4,10.7,1.7,89.0,Assist-On,02/20/2026 07:42 AM,2026-02-20 15:45,97.0,2.5,AI Tool
Isaac Morris LPC-2225 · Phoenix Processing Center,LPC-2225,Personal,Phoenix Processing Center,Day,3.4,9.3,1.4,87.0,None,pending log,02/18/2026 03:42 PM,76.0,1.6,Manual
Kevin Lopez LPC-2226 · Phoenix Processing Center,LPC-2226,Personal,Phoenix Processing Center,Day,6.0,10.3,1.2,87.0,None,02/16/2026 08:14 AM,"Feb 16, 2026 16:05",91.0,0.9,Manual
Elena Morris LPC-2227 · Phoenix Processing Center,LPC-2227,Personal,Phoenix Processing Center,Day,7.9,10.2,1.0,90.0,Typing Only,18-Feb-2026 08:03 AM,2026-02-18 15:43,81.0,0.9,Manual
Brandon Choi LPC-2228 · Phoenix Processing Center,LPC-2228,Personal,Phoenix Processing Center,Day,4.9,10.2,1.1,95.0,Assist-On,2026-02-19 08:02,19-Feb-2026 03:48 PM,84.0,1.2,AI Tool
Hannah Reed LPC-2229 · Phoenix Processing Center,LPC-2229,Personal,Phoenix Processing Center,Day,3.0,10.0,1.6,90.0,Group A,"Feb 21, 2026 08:15","Feb 21, 2026 16:11",85.0,2.2,AI Tool
Quincy Zimmerman LPC-2230 · Phoenix Processing Center,LPC-2230,Personal,Phoenix Processing Center,Day,2.6,8.9,1.8,88.0,AI Extract,19-Feb-2026 08:16 AM,02/19/2026 04:07 PM,84.0,2.5,AI Tool
Alicia Usman LPC-2231 · Phoenix Processing Center,LPC-2231,Personal,Phoenix Processing Center,Day,0.8,8.8,1.8,81.0,Group B,02/18/2026 08:19 AM,"Feb 18, 2026 16:12",69.0,1.8,Manual
Leah Diaz LPC-2232 · Phoenix Processing Center,LPC-2232,Personal,Phoenix Processing Center,Day,4.9,9.5,1.2,89.0,AI Extract,02/21/2026 07:51 AM,02/21/2026 03:43 PM,84.0,1.4,AI Tool
Zane Choi LPC-2233 · Phoenix Processing Center,LPC-2233,Personal,Phoenix Processing Center,Evening,7.9,10.4,1.2,93.0,AI Extract,2026-02-16 12:23,"Feb 16, 2026 20:03",84.0,1.5,AI Tool
Carla Ibarra LPC-2234 · Phoenix Processing Center,LPC-2234,Personal,Phoenix Processing Center,Evening,5.9,8.6,2.1,80.0,Control,"Feb 21, 2026 12:19",2026-02-21 20:24,70.0,2.1,Manual
Elena Zimmerman LPC-2235 · Phoenix Processing Center,LPC-2235,Personal,Phoenix Processing Center,Evening,3.2,8.6,1.8,89.0,Assist-On,17-Feb-2026 12:19 PM,17-Feb-2026 08:11 PM,72.0,1.9,AI Tool
Omar Kim LPC-2236 · Phoenix Processing Center,LPC-2236,Personal,Phoenix Processing Center,Evening,2.2,8.5,2.5,82.0,Group B,18-Feb-2026 12:17 PM,2026-02-18 20:02,70.0,2.9,Manual
Quincy Williams LPC-2237 · Phoenix Processing Center,LPC-2237,Personal,Phoenix Processing Center,Evening,7.8,11.2,1.7,91.0,Control,02/20/2026 12:07 PM,"Feb 20, 2026 20:15",87.0,1.9,Manual
Quincy Ortiz LPC-2238 · Phoenix Processing Center,LPC-2238,Personal,Phoenix Processing Center,Evening,3.8,8.6,2.4,77.0,Manual Entry,"Feb 20, 2026 12:13",2026-02-20 20:13,67.0,2.6,Manual
Rosa Singh LPC-2239 · Phoenix Processing Center,LPC-2239,Personal,Phoenix Processing Center,Evening,0.5,8.0,3.4,75.0,Group A,2026-02-18 12:17,2026-02-18 20:15,74.0,4.2,AI Tool
Kevin Diaz LPC-2240 · Phoenix Processing Center,LPC-2240,Personal,Phoenix Processing Center,Evening,8.0,11.1,0.9,92.0,Group B,02/20/2026 12:11 PM,02/20/2026 08:03 PM,84.0,0.8,Manual
Omar Williams LPC-2241 · Phoenix Processing Center,LPC-2241,Personal,Phoenix Processing Center,Evening,5.8,10.0,1.7,89.0,Treatment,20-Feb-2026 12:00 PM,2026-02-20 20:04,86.0,1.8,AI Tool
Marco Ortiz LPC-2242 · Phoenix Processing Center,LPC-2242,Personal,Phoenix Processing Center,Evening,7.5,9.4,0.9,91.0,Treatment,02/18/2026 12:19 PM,18-Feb-2026 08:09 PM,82.0,1.7,AI Tool
Samuel Young LPC-2243 · Phoenix Processing Center,LPC-2243,Personal,Phoenix Processing Center,Evening,4.8,10.0,1.2,93.0,Assist-On,"Feb 20, 2026 11:54",20-Feb-2026 07:55 PM,88.0,1.7,AI Tool
Quincy Young LPC-2244 · Phoenix Processing Center,LPC-2244,Personal,Phoenix Processing Center,Evening,7.1,10.5,1.3,87.0,Group B,02/18/2026 11:52 AM,"Feb 18, 2026 19:41",73.0,0.9,Manual
